Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,line,name,mold_name,time,date,count,working,emergency_stop,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,molten_volume,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,upper_mold_temp3,lower_mold_temp1,lower_mold_temp2,lower_mold_temp3,sleeve_temperature,physical_strength,Coolant_temperature,EMS_operation_time,tryshot_signal,mold_code,heating_furnace,anomalyornot,anomaly_detail,probability,passorfail,registration_time,shap1,shap2,shap3
0,0,0,0,73612,0,0,0,0,3247,274,0,0,733.0,121,122,110.0,112.0,,317.0,53.0,211.0,160.0,1449.0,128.0,202.0,1449.0,402.0,735.0,34.0,6,1,8412,1,,,0.0002495347289368,0.0,2019-03-12 06:12:13,upper_mold_temp1,cast_pressure,molten_temp
1,1,1,1,73613,0,0,0,0,3251,293,0,0,730.0,124,123,110.0,112.0,49.0,329.0,52.0,102.0,183.0,1449.0,190.0,302.0,1449.0,368.0,693.0,31.0,23,1,8917,2,,,0.0017615062655542,0.0,2019-03-12 06:12:47,cast_pressure,lower_mold_temp1,facility_operation_cycleTime
2,2,2,2,73614,0,0,0,0,3253,284,0,0,717.0,121,125,105.0,106.0,96.0,325.0,48.0,115.0,171.0,1449.0,192.0,193.0,1008.0,312.0,656.0,33.0,23,1,8722,2,,,0.0042326645925641,0.0,2019-03-12 06:13:08,cast_pressure,physical_strength,upper_mold_temp2
3,3,3,3,73615,0,0,0,0,3264,275,0,0,733.0,119,121,110.0,112.0,,330.0,50.0,213.0,161.0,1449.0,129.0,206.0,1449.0,413.0,731.0,33.0,6,1,8412,1,,,0.0003122110501863,0.0,2019-03-12 06:14:19,upper_mold_temp1,cast_pressure,molten_temp
4,4,4,4,73616,0,0,0,0,3269,294,0,0,730.0,122,123,110.0,112.0,48.0,329.0,52.0,102.0,183.0,1449.0,190.0,302.0,1449.0,367.0,695.0,31.0,23,1,8917,2,,,0.0017615062655542,0.0,2019-03-12 06:14:49,cast_pressure,lower_mold_temp1,facility_operation_cycleTime
5,5,5,5,73617,0,0,0,0,3273,285,0,0,717.0,127,127,105.0,106.0,95.0,325.0,45.0,114.0,170.0,1449.0,193.0,193.0,1001.0,302.0,653.0,33.0,23,1,8722,2,,,0.0035166628658771,0.0,2019-03-12 06:15:22,cast_pressure,physical_strength,upper_mold_temp2
6,6,6,6,73618,0,0,0,0,3283,276,0,0,732.0,120,121,110.0,112.0,,318.0,50.0,213.0,161.0,1449.0,129.0,208.0,1449.0,415.0,711.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:16:20,upper_mold_temp1,cast_pressure,molten_temp
7,7,7,7,73619,0,0,0,0,3287,295,0,0,732.0,122,123,110.0,112.0,47.0,329.0,52.0,102.0,183.0,1449.0,190.0,303.0,1449.0,368.0,697.0,31.0,23,1,8917,2,,,0.00256722663815,0.0,2019-03-12 06:16:56,cast_pressure,sleeve_temperature,molten_temp
8,8,8,8,73620,0,0,0,0,3291,286,0,0,717.0,118,120,105.0,106.0,94.0,325.0,46.0,117.0,172.0,1449.0,196.0,193.0,1001.0,308.0,655.0,33.0,23,1,8722,2,,,0.0058973827399313,0.0,2019-03-12 06:17:29,cast_pressure,upper_mold_temp2,physical_strength
9,9,9,9,73621,0,0,0,0,3302,277,0,0,731.0,119,121,110.0,112.0,,317.0,50.0,213.0,158.0,1449.0,130.0,210.0,1449.0,409.0,726.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:18:21,upper_mold_temp1,cast_pressure,molten_temp
10,10,10,10,73622,0,0,0,0,3307,296,0,0,731.0,122,123,110.0,112.0,46.0,329.0,50.0,102.0,183.0,1449.0,190.0,302.0,1449.0,369.0,692.0,31.0,23,1,8917,2,,,0.00256722663815,0.0,2019-03-12 06:18:58,cast_pressure,sleeve_temperature,molten_temp
11,11,11,11,73623,0,0,0,0,3312,287,0,0,718.0,119,121,105.0,146.0,93.0,325.0,40.0,117.0,173.0,1449.0,198.0,193.0,999.0,312.0,663.0,33.0,23,1,8722,2,,,0.0112776430323719,0.0,2019-03-12 06:19:24,cast_pressure,upper_mold_temp2,sleeve_temperature
12,12,12,12,73624,0,0,0,0,3322,278,0,0,730.0,119,124,110.0,112.0,,317.0,50.0,210.0,161.0,1449.0,130.0,205.0,1449.0,404.0,720.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:20:28,upper_mold_temp1,cast_pressure,molten_temp
13,13,13,13,73625,0,0,0,0,3328,297,0,0,731.0,122,122,110.0,112.0,45.0,330.0,57.0,102.0,183.0,1449.0,190.0,302.0,1449.0,370.0,697.0,31.0,23,1,8917,2,,,0.0055822388218166,0.0,2019-03-12 06:20:59,sleeve_temperature,molten_temp,cast_pressure
14,14,14,14,73626,0,0,0,0,3332,288,0,0,719.0,118,121,105.0,112.0,93.0,324.0,42.0,117.0,173.0,1449.0,197.0,192.0,988.0,314.0,650.0,33.0,23,1,8722,2,,,0.0045661656185984,0.0,2019-03-12 06:21:32,cast_pressure,upper_mold_temp2,physical_strength
15,15,15,15,73627,0,0,0,0,3344,279,0,0,730.0,122,122,110.0,112.0,,317.0,51.0,210.0,161.0,1449.0,129.0,206.0,1449.0,407.0,726.0,33.0,6,1,8412,1,,,0.0002495347289368,0.0,2019-03-12 06:22:29,upper_mold_temp1,cast_pressure,molten_temp
16,16,16,16,73628,0,0,0,0,3348,298,0,0,731.0,122,123,110.0,113.0,44.0,330.0,55.0,102.0,183.0,1449.0,190.0,303.0,1449.0,366.0,698.0,30.0,23,1,8917,2,,,0.0084956740205473,0.0,2019-03-12 06:23:07,sleeve_temperature,molten_temp,cast_pressure
17,17,17,17,73629,0,0,0,0,3357,289,0,0,719.0,118,121,105.0,106.0,92.0,325.0,48.0,111.0,171.0,1449.0,189.0,190.0,998.0,302.0,653.0,33.0,23,1,8722,2,,,0.0069552506320178,0.0,2019-03-12 06:23:55,cast_pressure,physical_strength,upper_mold_temp2
18,18,18,18,73630,0,0,0,0,3362,280,0,0,729.0,120,121,110.0,112.0,,317.0,50.0,212.0,161.0,1449.0,129.0,208.0,1449.0,407.0,736.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:24:28,upper_mold_temp1,cast_pressure,molten_temp
19,19,19,19,73631,0,0,0,0,3366,299,0,0,728.0,122,123,110.0,112.0,43.0,329.0,53.0,102.0,183.0,1449.0,191.0,303.0,1449.0,367.0,696.0,31.0,23,1,8917,2,,,0.0014764735062046,0.0,2019-03-12 06:25:16,cast_pressure,lower_mold_temp1,facility_operation_cycleTime
